id,door,open,pass,value
trial1,+2,14,78,5.57142857142857
trial1,,14,128,9.14285714285714
trial1,,14,330,23.5714285714286
trial1,,14,375,26.7857142857143
trial3,+4,285,768,2.69473684210526
trial3,,285,855,3
trial3,,285,883,3.09824561403509
trial3,,285,913,3.20350877192982
trial4,+3,75,171,2.28
trial4,,75,180,2.4
trial4,,75,210,2.8
trial4,,75,292,3.89333333333333
trial5,0,18,89,4.94444444444444
trial5,,18,132,7.33333333333333
trial5,,18,138,7.66666666666667
trial5,,18,150,8.33333333333333
trial6,-5,896,939,1.04799107142857
trial6,,896,940,1.04910714285714
trial6,,896,1804,2.01339285714286
trial6,,896,1839,2.05245535714286
trial7,-2,61,220,3.60655737704918
trial7,,61,342,5.60655737704918
trial7,,61,389,6.37704918032787
trial7,,61,531,8.70491803278689
trial8,-1,85,159,1.87058823529412
trial8,,85,209,2.45882352941176
trial8,,85,225,2.64705882352941
trial8,,85,252,2.96470588235294
trial9,-4,65,184,2.83076923076923
trial9,,65,230,3.53846153846154
trial9,,65,305,4.69230769230769
trial9,,65,348,5.35384615384615